mode,tag,seed,train_datasets,test_dataset,n_train,n_test,attn_proxy_text,attn_proxy_egemap,attn_proxy_deep,accuracy,f1_weighted,f1_macro,auc_roc,brier_score,mcc,sensitivity,specificity,precision_dem,precision_ctrl
linguistic,PA->T,42,"['pitt', 'adress']",taukadial,633,102,,,,0.5588235294117647,0.5581734019867894,0.5490716180371353,0.6095219435736676,0.3496668636798858,0.098251556691525,0.6206896551724138,0.4772727272727273,0.6101694915254238,0.4883720930232558
linguistic,PA->T,43,"['pitt', 'adress']",taukadial,633,102,,,,0.6176470588235294,0.6181327049627863,0.61133365901319,0.6365595611285266,0.3503402769565582,0.222787508115255,0.6551724137931034,0.5681818181818182,0.6666666666666666,0.5555555555555556
linguistic,PA->T,44,"['pitt', 'adress']",taukadial,633,102,,,,0.6666666666666666,0.6626682660269225,0.6533386645341863,0.6702586206896551,0.3025580048561096,0.3114867668772045,0.7586206896551724,0.5454545454545454,0.6875,0.631578947368421
acoustic_egemaps,PA->T,42,"['pitt', 'adress']",taukadial,633,102,,,,0.5784313725490197,0.524931834478604,0.497191333256907,0.5932601880877743,0.2533209323883056,0.0885267789745638,0.8620689655172413,0.2045454545454545,0.5882352941176471,0.5294117647058824
acoustic_egemaps,PA->T,43,"['pitt', 'adress']",taukadial,633,102,,,,0.6078431372549019,0.5790080738177624,0.5588235294117647,0.6128526645768024,0.2465447187423706,0.170196130779287,0.8275862068965517,0.3181818181818182,0.6153846153846154,0.5833333333333334
acoustic_egemaps,PA->T,44,"['pitt', 'adress']",taukadial,633,102,,,,0.6078431372549019,0.546713347596951,0.5181861124232404,0.6634012539184952,0.2478664815425872,0.1703182766245573,0.913793103448276,0.2045454545454545,0.6022727272727273,0.6428571428571429
acoustic_w2v,PA->T,42,"['pitt', 'adress']",taukadial,633,102,,,,0.4215686274509804,0.3788960329690443,0.3959650707618187,0.5293887147335423,0.4081834554672241,-0.0984505308574753,0.1896551724137931,0.7272727272727273,0.4782608695652174,0.4050632911392405
acoustic_w2v,PA->T,43,"['pitt', 'adress']",taukadial,633,102,,,,0.4411764705882353,0.3999504047328054,0.4164408310749774,0.5203761755485894,0.3716344237327575,-0.0510828226147277,0.2068965517241379,0.75,0.5217391304347826,0.4177215189873418
acoustic_w2v,PA->T,44,"['pitt', 'adress']",taukadial,633,102,,,,0.4313725490196078,0.409536541889483,0.4204545454545454,0.4698275862068966,0.288960188627243,-0.0894441794250461,0.2586206896551724,0.6590909090909091,0.5,0.4027777777777778
acoustic_hubert,PA->T,42,"['pitt', 'adress']",taukadial,633,102,,,,0.392156862745098,0.3574229691876751,0.3726190476190476,0.4917711598746081,0.4624830186367035,-0.1718911430242838,0.1896551724137931,0.6590909090909091,0.4230769230769231,0.3815789473684211
acoustic_hubert,PA->T,43,"['pitt', 'adress']",taukadial,633,102,,,,0.4313725490196078,0.4140809540190345,0.4233918128654971,0.4827586206896552,0.4760569036006927,-0.093687936614511,0.2758620689655172,0.6363636363636364,0.5,0.4
acoustic_hubert,PA->T,44,"['pitt', 'adress']",taukadial,633,102,,,,0.4215686274509804,0.3854562635569014,0.40077666036045,0.5070532915360502,0.4957669079303741,-0.1019653788533773,0.2068965517241379,0.7045454545454546,0.48,0.4025974025974026
